Ward No,HLBs,HLB,Total number of Househ,Households Verified By,Difference,Remark
0001 -,101900572160001000200,0002,219,119,100,Data Sync By Supervisor
0001 -,101900572160001000300,0003,94,0,94,Data Sync By Supervisor
0001 -,101900572160001000400,0004,229,1,228,Data Sync By Supervisor
0001 -,101900572160001000600,0006,57,49,8,Data Sync By Supervisor
0001 -,101900572160001000700,0007,95,10,85,Data Sync By Supervisor
0001 -,101900572160001001000,0010,157,0,157,Data Sync By Supervisor
0001 -,101900572160001001100,0011,70,0,70,Data Sync By Supervisor
0001 -,101900572160001001200,0012,107,65,42,Data Sync By Supervisor
0001 -,101900572160001001500,0015,100,0,100,Data Sync By Supervisor
0001 -,101900572160001001800,0018,299,12,287,Data Sync By Supervisor
0001 -,101900572160001001900,0019,144,7,137,Data Sync By Supervisor
0001 -,101900572160001002200,0022,140,76,64,Data Sync By Supervisor
0001 -,101900572160001002300,0023,79,7,72,Data Sync By Supervisor
0001 -,101900572160001002400,0024,133,75,58,Data Sync By Supervisor
0006 -,101900572160006002500,0025,1,0,1,Data Sync By Supervisor
0006 -,101900572160006002700,0027,261,255,6,Data Sync By Supervisor
0006 -,101900572160006003400,0034,156,53,103,Data Sync By Supervisor
0006 -,101900572160006003500,0035,211,140,71,Data Sync By Supervisor
0006 -,101900572160006003700,0037,230,228,2,Data Sync By Supervisor
0006 -,101900572160006004300,0043,159,0,159,Data Sync By Supervisor
0006 -,101900572160006033300,0333,185,124,61,Data Sync By Supervisor
0006 -,101900572160006033600,0336,169,168,1,Data Sync By Supervisor
0006 -,101900572160006033700,0337,111,96,15,Data Sync By Supervisor
0006 -,101900572160006033800,0338,156,129,27,Data Sync By Supervisor
0006 -,101900572160006033900,0339,141,139,2,Data Sync By Supervisor
0006 -,101900572160006034100,0341,238,237,1,Data Sync By Supervisor
0006 -,101900572160006034200,0342,150,121,29,Data Sync By Supervisor
0006 -,101900572160006037600,0376,43,2,41,Data Sync By Supervisor
0006 -,101900572160006037800,0378,61,2,59,Data Sync By Supervisor
0006 -,101900572160006037900,0379,38,1,37,Data Sync By Supervisor
0010 -,101900572160010005400,0054,226,194,32,Data Sync By Supervisor
0010 -,101900572160010005900,0059,182,181,1,Data Sync By Supervisor
0010 -,101900572160010006000,0060,283,19,264,Data Sync By Supervisor
0011 -,101900572160011006300,0063,141,132,9,Data Sync By Supervisor
0011 -,101900572160011006400,0064,205,167,38,Data Sync By Supervisor
0011 -,101900572160011006500,0065,58,0,58,Data Sync By Supervisor
0011 -,101900572160011007100,0071,34,3,31,Data Sync By Supervisor
0011 -,101900572160011007200,0072,107,5,102,Data Sync By Supervisor
0011 -,101900572160011007300,0073,123,13,110,Data Sync By Supervisor
0011 -,101900572160011007400,0074,22,17,5,Data Sync By Supervisor
0015 -,101900572160015008000,0080,266,204,62,Data Sync By Supervisor
0015 -,101900572160015008200,0082,292,195,97,Data Sync By Supervisor
0015 -,101900572160015008300,0083,243,0,243,Data Sync By Supervisor
0015 -,101900572160015008400,0084,158,0,158,Data Sync By Supervisor
0015 -,101900572160015008500,0085,118,0,118,Data Sync By Supervisor
0015 -,101900572160015008600,0086,72,0,72,Data Sync By Supervisor
0015 -,101900572160015009000,0090,65,57,8,Data Sync By Supervisor
0015 -,101900572160015032500,0325,71,30,41,Data Sync By Supervisor
0015 -,101900572160015032800,0328,122,105,17,Data Sync By Supervisor
0015 -,101900572160015033000,0330,114,33,81,Data Sync By Supervisor
0015 -,101900572160015033200,0332,116,113,3,Data Sync By Supervisor
0015 -,101900572160015034300,0343,104,103,1,Data Sync By Supervisor
0015 -,101900572160015034500,0345,143,142,1,Data Sync By Supervisor
0015 -,101900572160015034600,0346,92,0,92,Data Sync By Supervisor
0015 -,101900572160015034800,0348,77,76,1,Data Sync By Supervisor
