"S.No.,Area,City,Zone,Ward"
"1,01-Birjapur,Mathura,Z3-C1,1"
"2,02-Ambedkar Nagar,Mathura,Z1-C1,2"
"3,03-Girdharpur,Mathura,Z2-C1,3"
"4,04-Ishapur Yamunapar,Mathura,Z1-C1,4"
"5,05-Bharatpur Gate,Mathura,Z1-C1,5"
"6,06-Aduki,Mathura,Z3-C1,6"
"7,07-Lohvan,Mathura,Z1-C1,7"
"8,08-Atas,Mathura,Z4-C1,8"
"9,09-Gandhi Nagar,Mathura,Z4-C1,9"
"10,10-Aurangabad First,Mathura,Z3-C1,10"
"11,11-Tarsi,Mathura,Z3-C1,11"
"12,12-Radhe Shyam Colony,Mathura,Z2-C1,12"
"13,13-Sunrakh,Mathura,Z4-C1,13"
"14,14-Lakshmi Nagar Yamunapar,Mathura,Z1-C1,14"
"15,15-Maholi First,Mathura,Z3-C1,15"
"16,16-Bakalpur,Mathura,Z2-C1,16"
"17,17-Bairaagpura,Mathura,Z2-C1,17"
"18,18-General ganj,Mathura,Z1-C1,18"
"19,19-Ramnagar Yamunapar,Mathura,Z1-C1,19"
"20,20-Krishna Nagar First,Mathura,Z2-C1,20"
"21,21-Chaitanya Bihar,Mathura,Z4-C1,21"
"22,22-Badhri Nagar,Mathura,Z1-C1,22"
"23,23-Aheer Pada,Mathura,Z1-C1,23"
"24,24-Sarai Azamabad,Mathura,Z2-C1,24"
"25,25-Chharaura,Mathura,Z4-C1,25"
"26,26-Naya Nagla,Mathura,Z1-C1,26"
"27,27-Baad,Mathura,Z3-C1,27"
"28,28-Aurangabad Second,Mathura,Z3-C1,28"
"29,29-Koyla Alipur,Mathura,Z3-C1,29"
"30,30-Krishna Nagar Second,Mathura,Z2-C1,30"
"31,31-Navneet Nagar,Mathura,Z2-C1,31"
"32,32-Ranchibagar,Mathura,Z3-C1,32"
"33,33-Palikhera,Mathura,Z3-C1,33"
"34,34-Radhaniwas,Mathura,Z4-C1,34"
"35,35-Bankhandi,Mathura,Z1-C1,35"
"36,36-Jaisingh Pura,Mathura,Z2-C1,36"
"37,37-Baldevpuri,Mathura,Z2-C1,37"
"38,38-Civil Lines,Mathura,Z3-C1,38"
"39,39-Mahavidhya Colony,Mathura,Z2-C1,39"
"40,40-Rajkumar,Mathura,Z1-C1,40"
"41,41-Dhaulipiau,Mathura,Z3-C1,41"
"42,42-Manoharpur,Mathura,Z1-C1,42"
"43,43-Ganeshra,Mathura,Z2-C1,43"
"44,44-Radhika Bihar,Mathura,Z2-C1,44"
"45,45-Birla Mandir,Mathura,Z2-C1,45"
"46,46-Radha Nagar,Mathura,Z2-C1,46"
"47,47-Dwarkapuri,Mathura,Z2-C1,47"
"48,48-Satoha Asangpur,Mathura,Z2-C1,48"
"49,49-Daimpiriyal Nagar,Mathura,Z1-C1,49"
"50,50-Patharpura,Mathura,Z4-C1,50"
"51,51-Gaushala Nagar,Mathura,Z4-C1,51"
"52,52-Chandrapuri,Mathura,Z3-C1,52"
"53,53-Krishna Puri,Mathura,Z1-C1,53"
"54,54-Pratap Nagar,Mathura,Z2-C1,54"
"55,55-Govind Nagar,Mathura,Z2-C1,55"
"56,56-Mandi Randas,Mathura,Z2-C1,56"
"57,57-Balajipuram,Mathura,Z3-C1,57"
"58,58-Gau Ghat,Mathura,Z2-C1,58"
"59,59-Maholi Second,Mathura,Z3-C1,59"
"60,60-Jagannath Puri,Mathura,Z2-C1,60"
"61,61-Chaubia Para,Mathura,Z1-C1,61"
"62,62-Mathura Darwaza,Mathura,Z4-C1,62"
"63,63-Maliyaan Sadar,Mathura,Z1-C1,63"
"64,64-Ghati Bahalray,Mathura,Z1-C1,64"
"65,65-Holi Gali,Mathura,Z1-C1,65"
"66,66-Keshighat,Mathura,Z4-C1,66"
"67,67-Kemar Van,Mathura,Z4-C1,67"
"68,68-Shanti Nagar,Mathura,Z1-C1,68"
"69,69-Ratan Chhatri,Mathura,Z4-C1,69"
"70,70-Biharipur,Mathura,Z4-C1,70"
